13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
16952,a big chest, a big basket for holding rice | cjk ideograph
16953,(same as 籔) a bamboo ware for washing rice, a measuring unit used in ancient times; equal to 16 chinese peck | cjk ideograph
16954,bamboo, a chest; a box | cjk ideograph
16955,heavy bamboo mats used for deep water fishing | cjk ideograph
16956,(same as 篾) name of a variety of bamboo, a thin and long strip of bamboo for making baskets, etc.; thin (bamboo) laths, a kind of small bamboo with pulp | cjk ideograph
16957,name of a variety of bamboo; with short joints and white bark; big ones used as pole for punting a boat and roots used as medicine | cjk ideograph
16958,(same as 稍) move a little; shake slightly, (same as 梢) the tip of a branch or things of similar shape, the end of rudder or helm, a besom for rice | cjk ideograph
16959,belt of the canvas top on vehicles | cjk ideograph
16960,rectangular chest or box woven from bamboo strips (or wicker) | cjk ideograph
16961,name of a variety of bamboo, bamboo ware | cjk ideograph
16962,a basket for earth or soil, regulations; law, model | cjk ideograph
16963,sliced open bamboo with the joints used as an oar, a board made equipment with angles; children used to practice writing and taking notes in ancient times, mats, bamboo | cjk ideograph
16964,name of a variety of bamboo | cjk ideograph
16965,small bamboo whose joints are three feet apart, used for arrows, name of a variety of bamboo | cjk ideograph
16966,name of a variety of bamboo | cjk ideograph
16968,a kind of bamboo with a red skin; it is used for fine mats and other purposes | cjk ideograph
16969,(interchangeable 觚) a writing-tablet; a square piece of wood, a corner; an angle; an edge | cjk ideograph
16970,bamboo ware, awning in front of a cart, covering the horse or mule in the shafts; canvas top on vehicles | cjk ideograph
16971,a variety of bamboo shoots that sprout in winter | cjk ideograph
16972,crude bamboo mats, a vessel for raising silk-worms | cjk ideograph
16973,(non-classical form) to observe; to watch; to examine | cjk ideograph
16974,a cover, a shade, a basket used to catch fish | cjk ideograph
16975,name of a variety of bamboo | cjk ideograph
16976,a thin and long strip of bamboo for making baskets, etc.; thin (bamboo) laths, name of a variety of bamboo, (corrupted form of u+7c35 簬) used for arrows | cjk ideograph
16977,black skinned bamboo | cjk ideograph
16978,(same as 籓) a winnow, a container for dust, (same as 藩) a bamboo fence; a barrier, a bamboo basket with handles for carrying earth or dirt, family name | cjk ideograph
16979,mattress made of bamboo strips, bed | cjk ideograph
16980,bamboo slips, crude; coarse bamboo mats | cjk ideograph
16981,a bamboo hat, a bamboo shade or covering, name of a variety of bamboo | cjk ideograph
16982,(same as 笭) framework of a carriage, a door-screen; a railing in the front and on both sides of a carriage, a stand; frame; rack in a cabin of a ship, a bamboo cage; a bamboo basket with a narrow opening | cjk ideograph
16983,a receptacle or container, as a cup, ladle, spoon, etc. | cjk ideograph
16984,to pierce; to stab with a sharp wooden stick or a piece of bamboo slip | cjk ideograph
16985,name of a variety of bamboo; big bamboo | cjk ideograph
16986,name of a variety of bamboo, a bamboo shoot, a bamboo tube | cjk ideograph
16987,bamboo basket for washing rice, implements used to move the silkworm | cjk ideograph
16988,young and tender bamboo | cjk ideograph
16989,bamboo ware | cjk ideograph
16990,a box; a chest made of bamboo; bamboo ware, name of a variety of bamboo | cjk ideograph
16991,a bamboo basket used to catch fishes | cjk ideograph
16992,name of a variety of bamboo; leaves to make covering and the stems make arrows | cjk ideograph
16993,name of a variety of bamboo, a towrope used to tow a boat against the current in swift stream from the bank | cjk ideograph
16994,a sieve; a screen; a sifter; a strainer | cjk ideograph
16995,slips of bamboo provided for writing in ancient times | cjk ideograph
16996,(a simplified form of 籔) a bamboo ware for washing rice, a measuring unit used in ancient times; equal to 16 chinese peck | cjk ideograph
16997,(same as 檧) a small basket for chopsticks | cjk ideograph
16998,name of a variety of bamboo, a farm tool used to collect rice plants | cjk ideograph
16999,sound of bamboo, name of a variety of bamboo | cjk ideograph
17000,bamboo joints, name of a variety of bamboo, small bamboo | cjk ideograph
17001,a bamboo ware; a cradle | cjk ideograph
17002,to grind; by turning a mill to get the chaff, bran or husks off, a mill | cjk ideograph
17003,name of a variety of bamboo; used as a musical instrument | cjk ideograph
17004,coarse bamboo mats | cjk ideograph
17005,name of a variety of bamboo, covering made of bamboo strips | cjk ideograph
17006,to plant; to set up, to damage, to lose, weak | cjk ideograph
17007,dried bamboo | cjk ideograph
17008,bamboo shoots, (same as 筊) a rope made of bamboo strips, a kind of bamboo device used in divination | cjk ideograph
17009,a cradle | cjk ideograph
17010,thin and flat slips of bamboo used for weaving purpose | cjk ideograph
17011,name of a variety of bamboo, a domicile; record of the population | cjk ideograph
17012,a bamboo ware to collect and keep something in, a kind of bamboo ware used to dripping rice | cjk ideograph
17013,(same as 饌) to feed, to provide for, to prepare food; to eat and drink; delicacies, dainties | cjk ideograph
17014,a sail (of a boat), a utensil made of bamboo used to filter or to strain out wine | cjk ideograph
17015,a feather screen, a shade, imperial garden | cjk ideograph
17016,slips of bamboo for writing | cjk ideograph
17017,(same as 䉁) name of a variety of bamboo, bamboo ware | cjk ideograph
17018,to deteriorate and become red; old rice; decaying rice, red rice; (cant.) the smell of long-stored rice | cjk ideograph
17019,red rice, coarse rice | cjk ideograph
17020,(non-classical form of 料) materials; ingredients | cjk ideograph
17021,(same as 粄) rice cake; cake made of glutinous rice | cjk ideograph
17022,bad; poor quality of rice | cjk ideograph
17023,(same as 糊) paste; to paste, sticky; glutinous, to stick | cjk ideograph
17024,(same as 䉿) (same as 糊) paste; to paste, sticky; glutinous, to stick | cjk ideograph
17025,(same as u+7c78 籸) leavings; refuse (from foodstuff, petroleum, oil, etc.; siftings, congee; rice gruel (the surface part); a kind of cooked rice | cjk ideograph
17026,poor quality of rice; bad rice cakes stick to each other | cjk ideograph
17027,mixing rice with broth, a grain of rice | cjk ideograph
17028,polished rice | cjk ideograph
17029,to soak rice | cjk ideograph
17030,cooked, dry rice flour, (same as 糗) cured dried grain; parched wheat or rice | cjk ideograph
17031,(same as 餔) to feed; to eat, (interchangeable 晡) time for supper, sunset | cjk ideograph
17032,(same as 酶) distiller's grains or yeast | cjk ideograph
17033,preserved fruit, cucumbers, gourds, etc. | cjk ideograph
17034,well-boiled congee or rice gruel | cjk ideograph
17035,(same as 妝) to adorn oneself, to disguise, to pretend | cjk ideograph
17037,thick congee or porridge; well-boiled congee or gruel, (same as 黎) many; numerous | cjk ideograph
17038,powder; flour, to roll round with the hand, thick congee or porridge | cjk ideograph
17039,(non-classical form of u+7cc2 糝) mixing rice with broth, a grain of rice | cjk ideograph
17040,(same as 餛) fluffy stuffed dumplings; stuffed dumpling with delicate flour wrapping; ravioli | cjk ideograph
17041,(same as 餉 饟) pay, provisions, etc. for military or police, to entertain with food; to feast | cjk ideograph
17042,(same as 精) refined; polished (rice); unmixed, the essence, fine and delicate, keen; sharp | cjk ideograph
17043,to paste up; to attach to; to stickup; to glue | cjk ideograph
17044,polished rice; refined rice | cjk ideograph
17045,(same as 饘) well-boiled congee or gruel, thick, rich | cjk ideograph
17046,to eat rice-gruel mixed with meat | cjk ideograph
17047,a kind of grain; yellow color; not sticky, (same as 餭) fried puffy shredded, sugar-plums; sweetmeats | cjk ideograph
17048,a grain (of rice, etc.) | cjk ideograph
17049,cooked or well-done, ripe, fine rice | cjk ideograph
17050,steamed dumplings | cjk ideograph
17051,shreds; splinters (of rice) | cjk ideograph
17052,(same as 糰) dumplings; doughnuts | cjk ideograph
17053,to exile; to banish | cjk ideograph
17054,to roll round with the hand; to paste up; to attach to; to stick up; to glue, poor quality of rice | cjk ideograph
17055,adorned; beautified; made up; glossy, thick and sticky thing on the surface of congee; rice gruel | cjk ideograph
17056,(same as 氣 餼) to give a supply of grain for rations, grain, a sacrificial victim, explained as used of the living beast | cjk ideograph
17057,(same as non-classical form 饅) steamed bread; bread of any kind; steamed dumplings | cjk ideograph
17058,(same as 漿) thick fluid; starch; to starch | cjk ideograph
17059,light yellow dust-like fungoid growth on wine, etc., barley, chaff or husks of wheat (non-classical form of 餭) fried puffy shredded, sugar-plums; sweetmeats | cjk ideograph
17060,vegetable mixed with thick soup (broth), congee; gruel | cjk ideograph
17061,congee; porridge; rice gruel, mashed; rotten | cjk ideograph
17062,food (some food as glutinous rice tamale—made by wrapping the rice in broad leaves of reeds and boiled for a few hours—usually with other ingredients, as dates, meat, oyster, beams, etc. | cjk ideograph
17063,(same as 屁) a fart; to break wind | cjk ideograph
17064,storing grains; to store up food | cjk ideograph
17065,rice gravy | cjk ideograph
17066,coarse rice -- unhulled, (interchangeable 糲) coarse -- of grain | cjk ideograph
17067,coarse rice, red rice | cjk ideograph
17068,name of a variety of grain, hollyhock; the mallow; root and flower can be used as medicine to neutralize poison; antipyretic (febrifuge) | cjk ideograph
17069,to overturn; to pour out, to respond, to examine carefully, to stick, thick congee | cjk ideograph
17070,name of a variety of grain | cjk ideograph
17071,(same as standard form 穬) grains with beard (rice plant, wheat, etc.) unripe rice plant | cjk ideograph
17072,foodstuff; provisions; grains for human consumption | cjk ideograph
17073,cakes made of rice-flour | cjk ideograph
17074,to hull rice roughly (to make a rush pounding of the rice); coarse rice, to grind (grains, millet, etc.) | cjk ideograph
17075,to break into pieces; to smash; completely smashed, chips; crumbs, refined; polished (rice); unmixed | cjk ideograph
17076,food made of rice-flour | cjk ideograph
17077,young and small, (same as 絿) rash and impatient | cjk ideograph
17078,(same as 紖) a rope for leading cattle | cjk ideograph
17079,(same as 緇) black silk; a dark, drab colour, used for buddhists, from the dark colour of their robes (same as 純) pure, honest | cjk ideograph
17080,(standard form of 紆) to twist; to distort, a cord | cjk ideograph
17081,(a abbreviated form of 纖) small, fine, delicate | cjk ideograph
17082,an implement to draw or to collect ropes or cords | cjk ideograph
17083,silky, very fine thread | cjk ideograph
17084,measuring unit; end of spoilt silk | cjk ideograph
17085,a fine thread, linen thread; silk thread; a thread; a yarn | cjk ideograph
17086,ropes; cords; cables | cjk ideograph
17087,(same as 衭) the lapel or collar of a garment or robe, drawers, (dialect) trousers or pants | cjk ideograph
17088,shoes made of hemp or hair | cjk ideograph
17089,(ancient form 綆) a rope for drawing up water (from a well, stream, etc.) | cjk ideograph
17090,dresses for the bride, green color, yellow color, (interchangeable 絞) a greenish yellow color | cjk ideograph
17091,stinging; hairy silk fabrics | cjk ideograph
17092,(same as 網) web; net; network | cjk ideograph
17096,to bind loose hemp, old yarn, to stuff; to fill, waste silk or cotton and silk to be laid and attached each other; to padding; cushioning | cjk ideograph
17097,(interchangeable 䊽) a numerary adjunct (classifier) for practically everything; a thread; a yarn, clothes for the dead, linen thread; silk thread | cjk ideograph
17098,decorations of the emperor's carriage; ornamental items on horses | cjk ideograph
17099,(same as 罠) a kind of spring fishing net | cjk ideograph
17100,(ancient form 堅) strong; durable; solid; firm; stable, (same as 䋗) tight; firm, pressing | cjk ideograph
17101,(an abbreviated form of 䋪) fine and delicate silk, plain white sackcloth for mourning | cjk ideograph
17102,to mend (clothes, etc.), (interchangeable 綻) ripped seam; a crack; split | cjk ideograph
17103,thick and big ropes or cords; bulky cables, spoilt silk | cjk ideograph
17104,fabric; textile with patterns used for hem decorations, decorations on carriage and horses, varicolored silk or fine cloth loose in texture | cjk ideograph
17105,to tie; to knot, to join | cjk ideograph
17106,(corrupted form of 紓) to relax, to free from | cjk ideograph
17107,(abbreviated form 縐) wrinkled, to shrink, crepe, a coarse, yellowish cloth for summer wear | cjk ideograph
17108,to band together; to twist; to wring and to disperse fiber then to make thin silk, cloth, cotton-yarn or rope | cjk ideograph
17109,(same as u+7d4d 紝) to lay the warp; to weave | cjk ideograph
17110,long, a gown; a long dress | cjk ideograph
17111,(same as 䋌) (same as 堅) strong and durable, solid and firm; tight; pressing | cjk ideograph
17112,(same as 縋) to hand by a rope; to let down by a rope | cjk ideograph
17113,reins; bridle | cjk ideograph
17114,(same as 翼) wings, fins, to help, to protect | cjk ideograph
17115,the clustered embroidery patterns (as tiny and fine rice) | cjk ideograph
17116,(same as u+7dae 綮) crucial points; critical points, an embroidered banner, sheath for a lance head | cjk ideograph
17117,(abbreviated form of 纓) a throat-band; chin strap for holding the hat, tassel; a fringe | cjk ideograph
17118,(abbreviated form of 網) web; net; network | cjk ideograph
17119,the weight on a steelyard, connected stitches | cjk ideograph
17120,(interchangeable 補) to repair; to mend, to add to, to make up | cjk ideograph
17121,(same as 紓) (interchangeable 舒) to relax, to free from | cjk ideograph
17122,to twist ropes, a belt or string to hold the bow, to tie; to bind, the cart turning back to the left, to draw or pull (of a cart), to mourn | cjk ideograph
17123,decorations put on the mane or horsehair, (standard form of 繁) many, troublesome, a family name | cjk ideograph
17124,plain white silk, to soften and whiten raw silk by boiling | cjk ideograph
17125,lines; stripes; veins | cjk ideograph
17126,ravelled silk | cjk ideograph
17127,(same as 絇) ornaments for the frontal part of shoes | cjk ideograph
17128,to set in order the old, raw, coarse, waste silk or cotton | cjk ideograph
17129,pretty and fine silk fabrics | cjk ideograph
17130,(interchangeable 䋍) fine and delicate silk, plain white sackcloth for mourning | cjk ideograph
17131,to wind round the ropes, crooked; winding; bends; turns; curves; turns and twists, to play a sound of hasty (fast) string (of a musical instrument) | cjk ideograph
17132,rug; carpet; blanket, woolen textiles; woolen goods; woolen stuff; woolen fabrics | cjk ideograph
17133,to weave silk fabrics with green color for longitude and white for latitude, silk fabrics from yuyang | cjk ideograph
17134,(the large seal; a type of chinese calligraphy) (same as 紟) a sash, to tie, a kind of cloth or textiles, lapel of a chinese dress, a single coverlet | cjk ideograph
17135,(same as u+7dae 綮) crucial points; critical points, an embroidered banner, sheath for a lance head | cjk ideograph
17136,to bind or restrain; restraint; restriction, timid and awkward, to wind around; to tangle, to connect; to join, together with | cjk ideograph
17137,(same as 斄) a wild yak, hard and curved hair, name of a county in ancient times | cjk ideograph
17138,(non-classical form of u+7e69 繩) a rope; a cord, to restrain, to rectify; to correct | cjk ideograph
17139,(same as 褙) cloth or paper pasted together; pasteboard; to mount (paintings or calligraphic works), short clothes | cjk ideograph
17140,silk fabrics with mixed colors | cjk ideograph
17141,quick, urgent, anxious, not going to succeed, poor quality of silk fabrics | cjk ideograph
17142,to stumble; to trip the front feet of a beast, a kind of brocade from shu | cjk ideograph
17143,a kind of thick, loosely-woven raw silk fabric | cjk ideograph
17144,back center suture of the clothes | cjk ideograph
17145,(same as 幅) breadth of material (cloth or paper, etc.) | cjk ideograph
17146,(same as 鞦) a swing (same as u+97a7 緧) a crupper; traces | cjk ideograph
17147,to spin and weave, equal; uniform; (same as u+7d1d 紝) to lay the warp; to weave | cjk ideograph
17148,slow; leisurely, to delay; to slacken, silk ribbons | cjk ideograph
17149,hempen sandals, leather shoes (for children) | cjk ideograph
17150,cotton and silk to be laid and attached each other | cjk ideograph
17151,a decorative knot made of colorful silk (blue, yellow, red, white and black) | cjk ideograph
17152,to arrange; to repair silk, colored patterns (stripes; lines; streaks; veins) | cjk ideograph
17153,a pleat; fold, a piece of string; ribbon used to tie clothes, a rope; a line; a cord | cjk ideograph
17154,(same as 握) in ancient times, article for preparing the body for the coffin (something slip on the hand of the dead) | cjk ideograph
17155,(same as 綃) raw silk, to seal; to close | cjk ideograph
17156,(standard form of 綆) a rope for drawing up water (form a well, stream, etc.) | cjk ideograph
17157,a thick ropes | cjk ideograph
17158,silk fabrics | cjk ideograph
17159,(non-classical form of 索) a thick rope; a cable, alone, to tighten; to squeeze, to need, to demand | cjk ideograph
17160,to get something with a lasso | cjk ideograph
17161,(non-classical form of 綱) the large of a net, main point, principle | cjk ideograph
17162,(corrupted form of 繇) entourage; aides; attendants, cause; means, by way of, etc., forced labour; labor service | cjk ideograph
17163,a kerchief hung at the waist, a tiny sack; a purse or pouch carried hanging over the girdle | cjk ideograph
17164,lace; embroidered hem (of a garment), (same as 緁) a narrow strip of woven material (such as the hem of a straw hat) | cjk ideograph
17165,fine woven pattern | cjk ideograph
17166,to baste for sewing, to connect; to sew; to stitch; to mend | cjk ideograph
17168,ropes; cords; cables | cjk ideograph
17169,(interchangeable 堅) tight; firm; fast; secure; close | cjk ideograph
17170,pure; unalloyed, honest; simple, purely | cjk ideograph
17171,(corrupted form of u+7e41 繁) many; abundant, complex; intricate | cjk ideograph
17172,(corrupted form of 漚) to soak, foam; bubble; froth | cjk ideograph
17173,(same as 縻) to tie; to fasten; to connect | cjk ideograph
17174,to gather; to assemble; to come together; to blend; to mix, disorderly; mixed, a general term for wealthy goods and textiles (in southern minority group) | cjk ideograph
17175,the left over of drawing silk (from cocoons), silk, to arrange raw, coarse, old, waste cotton or silk | cjk ideograph
17176,to knit; to twist ropes, a belt to hang sword, poor qualitied silk wadding | cjk ideograph
17177,hank of ropes | cjk ideograph
17178,wrinkles; creases; folds | cjk ideograph
17179,(same as 繇 徭 陶 謠 由 猶 悠 籀) entourage; aides; attendants, compulsory labor service, to make pottery or earthenware, happy, ballad; folk song, rumor, through; via; by way of, like; similar to, still; yet, far, sad, soft; slow, to deduce (interchangeable 搖 遙 傜) | cjk ideograph
17180,to sew; to stitch; to suture; to mend; to patch a garment; dresses, etc.. to twist; to tie up with ropes | cjk ideograph
17181,silk, a general name of silk fabrics or goods, (interchangeable 紺) reddish dark color; violet or purple | cjk ideograph
17182,a knot to hang the apparatus made of reed for raising silkworms, a rope | cjk ideograph
17183,to weave silk ribbons, (interchangeable 澼) to wash; to launder | cjk ideograph
17184,hold on to one's own views, to keep the mouth shut, stingy; miserly; niggardly; parsimonious | cjk ideograph
17185,to wind around; to bind; to wrap; to tangle, to bother persistently | cjk ideograph
17186,raw, coarse, old, waste cotton or silk, wooly; fluffy | cjk ideograph
17187,to accumulate; to store up | cjk ideograph
17188,a kind of unrefined or unpolished silken textiles; silken goods; silken fabrics, to sew; to patch clothes (of sword) | cjk ideograph
17189,to sew clothes; to do needle-work | cjk ideograph
17190,green color; bluish yellow | cjk ideograph
17191,(non-classical form of 紬 綢) a kind of silk fabric; thin silk goods | cjk ideograph
17192,thin silk fabrics, sound of the rubbing of clothes | cjk ideograph
17193,fine, thin stockings or socks | cjk ideograph
17194,to continue; to extend; to review | cjk ideograph
17195,(non-classical form of u+7e9c 纜) a hawser, a cable, a rope | cjk ideograph
17196,straight; right; just, straight-forward, uninterrupted | cjk ideograph
17197,raw hemp, a kind of fabric | cjk ideograph
17198,silk fabrics with the color of new leaves | cjk ideograph
17199,a turban; a kerchief, children's hat, a girdle, belt of the clothes | cjk ideograph
17200,connected silk, measurement | cjk ideograph
17201,(same as 䌴) uneven; silk with knots | cjk ideograph
17202,(same as 纁) light red | cjk ideograph
17203,a kind of unrefined or unpolished silken textiles; silken goods; silken fabrics | cjk ideograph
17204,uneven; silk with knots; unpolished | cjk ideograph
17205,lapel and belt | cjk ideograph
17206,(simplified form of 䊷) (same as 緇)) black silk; a dark, drab colour, used for buddhists, from the dark colour of their robes (same as 純) pure, honest | cjk ideograph
17207,(simplified form of 紬) a thread; a clue | cjk ideograph
17208,(simplified form of 縳) fine silk fabric of bright white colour, to tie up, (interchangeable 卷) a book or painting which can be easily folded or rolled up, a division of a book, files | cjk ideograph
17209,(simplified form of 絅) (same as 褧) a garment of one colour with no lining, a dust coat | cjk ideograph
17210,(simplified form) (interchangeable 耳) flourishing; thriving; vigorous | cjk ideograph
17211,(simplified form) (same as 翼) wings, fins, to help; to assist | cjk ideograph
17212,a kind of fine silk fabric | cjk ideograph
17213,varicolored silk; motley | cjk ideograph
17214,(same as u+7d1d 紝) to lay the warp; to weave | cjk ideograph
17215,(simplified form) (same as 幅) the breadth of cloth or paper; a piece (of cloth) | cjk ideograph
17216,(same as u+8964 襤) clothes without hem; ragged garments; sloppily dressed | cjk ideograph
17217,(simplified form of 繸) the hem or border of a garment, a tassel | cjk ideograph
17218,tools to draw water or liquid | cjk ideograph
17219,a vase, a pitcher, earthenware | cjk ideograph
17220,an indenture (of earthenware) | cjk ideograph
17221,containers for water or wine used in ancient times | cjk ideograph
17222,container for grains used in ancient times | cjk ideograph
17223,flat-bottom crock (with narrow opening); jug, pitcher, vase, etc; (cant.) stool | cjk ideograph
17224,(same as 缾 瓶) bottle; pitcher; jug; vase | cjk ideograph
17225,traces or marks of incomplete or damage | cjk ideograph
17226,clay-made blowing wind instruments; music instruments made of clay | cjk ideograph
17227,bottle; pitcher; jug; vase; an earthen jar with narrow opening | cjk ideograph
17228,(same as 瓿) a jar; a pot | cjk ideograph
17229,unburnt bricks; tiles; earthenware, etc. | cjk ideograph
17230,a spindle, a earthenware used to pinch or knead, a small crock | cjk ideograph
17232,(standard form 罕) a net or snare, a flag, rare; strange; scarce; few, name of a place in ancient times | cjk ideograph
17233,(same as 䍐) (standard form 罕) a net or snare, a flag, rare; strange; scarce; few, name of a place in ancient times | cjk ideograph
17234,(corrupted form) net; web; network | cjk ideograph
17235,(a corrupted form) net for catching rabbit | cjk ideograph
17236,a full net, a thick rope; a cable | cjk ideograph
17237,net; web; network, net for catching rabbit | cjk ideograph
17238,(same as 罦) a kind of net in a trap used to catch birds and beasts; a covering for a cart | cjk ideograph
17239,(same as 罥) to hang up; to bind; to entangle, net; web; network | cjk ideograph
17240,a general term for nets | cjk ideograph
17241,nets for catching birds, net; web; network | cjk ideograph
17242,vast | cjk ideograph
17243,a kind of tool used to get fish | cjk ideograph
17244,a basket or a cage used to keep wild and domestic fowls | cjk ideograph
17245,net; web; network | cjk ideograph
17246,(same as 罭) a drag-net; a fine net used to catch small fish | cjk ideograph
17247,a kind of fish net with fine meshes | cjk ideograph
17248,(simplified form of 䍦) turban used in ancient times | cjk ideograph
17249,small fish net, to catch fish with small fish net | cjk ideograph
17250,netted veined window-sill | cjk ideograph
17251,a kind of fish net | cjk ideograph
17252,to strain out; to filter wine; to squeeze juice out of; to draw; to press milk | cjk ideograph
17253,smoky, covering; to spread, cloth for covering food | cjk ideograph
17254,(traditional form of 䍠) a kind of turban used in ancient times | cjk ideograph
17255,(same as 牂) a ewe or she-goat | cjk ideograph
17256,to castrate, a ram or he-goat, last name | cjk ideograph
17257,(ancient form of 養) to offer provision (esp. to one's elders); to feed one's children | cjk ideograph
17258,castrated ram | cjk ideograph
17259,a legendary goat-like animal with 4 ears and 9 tails, a kind of goat with no horn | cjk ideograph
17260,to use; to made; to act, a kind of goat with mixed colors | cjk ideograph
17261,(same as 牂) a ewe or she-goat | cjk ideograph
17262,young goat (sheep) under one year old, castrated ram of hundred catties (chinese pound) | cjk ideograph
17263,(same as 觤) goat with asymmetric horns | cjk ideograph
17264,a plague or a pestilence of goat (sheep); black goat or sheep, black | cjk ideograph
17265,the wild goat or sheep | cjk ideograph
17266,a kind of sheep (goat) with curled hairs | cjk ideograph
17267,disease; illness, goat (or sheep) get sick, a throbbing goat (or sheep) | cjk ideograph
17268,to squeeze and to crowd against each other (of sheep) | cjk ideograph
17269,young goat, antelope | cjk ideograph
17270,unicorn | cjk ideograph
17271,to chase each other (of sheep or goats) | cjk ideograph
17272,a legendary goat-like animal with 4 ears and 9 tails | cjk ideograph
17273,(same as u+7fb4 羶) odor of a sheep or goat, flock of goats or sheep, name and description of snuff (a kind of tobacco) | cjk ideograph
17274,a legendary goat-like beast | cjk ideograph
17275,young goat of sheep under one year old | cjk ideograph
17276,salted mutton, to store up the meat under the ground, a goat-like beast, odor of a sheep or goat | cjk ideograph
17277,a fierce goat, a castrated ram | cjk ideograph
17278,flying | cjk ideograph
17279,a kind of dance accompanied by music performed in ancient times, (same as 凰) the female phoenix, a legendary bird in chinese mythology | cjk ideograph
17280,flying, to run swiftly; to go at express speed | cjk ideograph
17281,used in person's name | cjk ideograph
17282,colorful feather, a feather decorated arrow | cjk ideograph
17283,fine down; floss; wool | cjk ideograph
17284,hairy; long tail feather of a bird | cjk ideograph
17285,flying | cjk ideograph
17286,flying | cjk ideograph
17287,quick; quickly, hasty, soft and meek feather | cjk ideograph
17288,flying | cjk ideograph
17289,to walk swiftly, (same as 矞) scared; afraid; fearful; frightened | cjk ideograph
17290,flying, flying away | cjk ideograph
17291,fly | cjk ideograph
17292,feather, flying, neat feather | cjk ideograph
17293,fine and soft hair, feather | cjk ideograph
17294,to glide or to hover up in the air, to soaring | cjk ideograph
17295,young birds flying | cjk ideograph
17296,hairy | cjk ideograph
17297,flying over the water surface, flying up; soaring | cjk ideograph
17298,flying quickly and to attack suddenly (said of bird) | cjk ideograph
17299,flying | cjk ideograph
17300,fine and soft hair, feather | cjk ideograph
17301,flying birds | cjk ideograph
17302,soaring up in the sky | cjk ideograph
17303,flying | cjk ideograph
17304,birds flying, sound of the flying wings | cjk ideograph
17305,flying | cjk ideograph
17306,the end of bird wings, bird wings | cjk ideograph
17308,aged; to get old, advanced age; great age; old age | cjk ideograph
17309,(same as 翥) to soar | cjk ideograph
17311,to fawn on; to flatter; to please, to love, attractive | cjk ideograph
17312,to twist or to crumple between hands and make something turn, (same as u+611e 懦) cowardice; timid; weak and cowardly | cjk ideograph
17313,to shrink; to recoil; to flinch, weak, soft and meek; gentle, (corrupted form of 耎) soft; weak, pliable | cjk ideograph
17314,to measure (esp. for grains) by pints and pecks | cjk ideograph
17315,(same as 耜) a plough; a ploughshare | cjk ideograph
17316,to till; to plough; to cultivate, agricultural implements; farm tools | cjk ideograph
17318,to till; to plough, sharp-pointed spade or shovel | cjk ideograph
17319,agricultural implements; farm tools (a plough; a ploughshare), to till; to plough | cjk ideograph
17320,to plough and sow, to farm | cjk ideograph
17321,to till; to plough, (same as 菑) land under cultivation for one year, to weed grass | cjk ideograph
17322,the stalk of grain; straw, a hammer used to pound grains and corns, etc. | cjk ideograph
17323,to plant; to sow; to cultivate | cjk ideograph
17324,(simplified form of 䎱) (same as 耙) a drag; a harrow; a rake | cjk ideograph
17325,a kind of farm tool made of twisted thron strips used to flaten the land | cjk ideograph
17326,to plant; to raise or grow (plants); to cultivate | cjk ideograph
17327,winter ploughing, to plough a dry farmland (upland), to till; to plough | cjk ideograph
17328,name of a place in sichuan province | cjk ideograph
17329,(same as 耙) a drag; a harrow; a rake | cjk ideograph
17330,ear lobe; lobule | cjk ideograph
17331,lose of the ear | cjk ideograph
17332,a legendary spirit; immortal, (non-classical form of 聖) sage, sacred; holy | cjk ideograph
17333,(corrupted form) to look straight forward, ashamed, to look in a mean way | cjk ideograph
17334,offering blood to god | cjk ideograph
17335,an old man with white hair, source; head (of a stream), loud cries | cjk ideograph
17336,to hear; to listen; to obey; to understand | cjk ideograph
17337,(ancient form of 聞) to hear, to learn, to convey, to smell | cjk ideograph
17338,to learn; to hear; (cant.) to work; to be willing | cjk ideograph
17339,to hear, clear, bright, ears | cjk ideograph
17340,a kind of insect | cjk ideograph
17341,(ancient form of 聞) to hear, to learn, to convey, to smell, to hear of | cjk ideograph
17342,(corrupted form of 睔) big and round eyes | cjk ideograph
17343,buzzing in the ears; tinnitus aurium | cjk ideograph
17344,inharmonious | cjk ideograph
17345,unable to hear distinctly or clearly | cjk ideograph
17346,clever, quick of apprehension, with a good faculty of hearing | cjk ideograph
17347,to hear, to listen carefully | cjk ideograph
17348,not to listen, disease of the ears, a dull sense of hearing (inefficacious; unresponsive) | cjk ideograph
17349,to hear; to listen, a keen sense of hearing | cjk ideograph
17350,buzzing in the ears; tinnitus aurium | cjk ideograph
17351,to hear; barely enough to hear clearly, hearsay; groundless talk | cjk ideograph
17352,(standard form of 聯) to unite; to connect; to join together (same as 攣) tangled; to bind; entwined | cjk ideograph
17353,to waver; to shake ears (said of cattle and horses) | cjk ideograph
17354,(same as 聾) deaf; hard of hearing | cjk ideograph
17355,(ancient form of 肅) respectful; solemn; serious; majestic, neat and quite | cjk ideograph
17356,to vibrate; vibration, (same as 佾) a row or file of dancers, esp. referring to those in ancient dances at sacrifices or other rites | cjk ideograph
17357,(same as 肙 蜎) a small worm; larvae of mosquitoes, empty, to twist; to surround | cjk ideograph
17358,milk; breasts, the young of animals, birds | cjk ideograph
17359,(same as 吁) signs and groans; moan, name of a county | cjk ideograph
17360,the buttocks, the anus | cjk ideograph
